,Sentence,Sentiment
3443,The aim is to increase sales by at least one fifth in 2006 .,2
4345,"After piloting , the instrument will be further developed according to the experiences gained .",1
2388,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",2
3755,Technopolis has approximately 130 customer companies in Jyvaskyla .,1
3346,"Goodwill and other intangible assets account for some 2.0 mln euro ( $ 2.6 mln ) of the purchase price , 20 pct of which payable in Aspo shares .",1
4180,"Long Position on $GOL,...Updating http://stks.co/fdmm",2
3608,"The huge bridge girders will be delivered to the site from our plant in Ylivieska , Finland .",1
3223,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,0
4287,"Finnish newspaper publisher Sanoma , of media group SanomaWSOY , is merging its free sheets Uutislehti 100 and Metro as of mid-September 2008 to form a new free sheet to be named Metro .",1
5805,"The new office , located in Shenzhen , will strengthen Vaisala 's already 10-year old presence in China .",2
2487,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,1
3016,Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,2
4527,The measures result from weak demand in the shipbuilding industry .,1
5700,Starbucks' Digital Strategy To Drive Significant Growth With Customer Loyalty https://t.co/9Q7cI79IYO $SBUX,2
4861,Our standardised services have met with a positive reception among our customers as well as at Itella .,2
2129,NORDIC BUSINESS REPORT-26 June 2006-Metso Corporation wins EUR50m equipment order in Australia -® 1998-2006 M2 COMMUNICATIONS LTD The Finnish engineering and technology group Metso Corporation said on Monday ( 26 June ) that it has received a EUR50m equipment order in Australia .,2
2928,"The result will also be burdened by increased fixed costs associated with operations in China , and restructuring costs in Japan .",0
4776,Why put up costly cell phone towers in thinly populated areas when a few balloons would do ?,1
2390,UPDATE 1-Meggitt reiterates annual outlook after tough 2014,1
2589,"The value of the contract is about EUR1 .0 m. Poyry , headquartered in Vantaa , Finland provides consulting and engineering services to the energy , forestry and infrastructure & environment sectors .",1
3228,$SAVE long. https://t.co/yEJuS9cMlC,2
3211,"I can say categorically , no , ' Wahlroos was quoted as saying by the paper , when asked about Sampo 's interest in making a bid for RSA .",1
4927,Sales have risen in other export markets .,2
4137,The value of orders on hand totaled EUR 237.1 mn .,1
316,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",0
4460,"After non-recurring items of EUR 177mn , profit amounted to EUR 20mn .",1
2535,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,1
827,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",2
4442,Talentum acquired a 47.5 pct stake in Varesvuo Partners in 1997 and the remaining in 2002 and 2005 .,1
2311,"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC",0
2049,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",2
4121,"International sales rose by 59.8 % to EUR 1,244.4 mn .",2
3632,The incident happened at 2:30 p.m. on Avenue 192 at Road 196 .,1
3013,"The company said that it will supply the WCDMA 3G-HSPA radio network , including the modular , high capacity Nokia Flexi WCDMA base station in East Java , Bali , Sumatra and Batam .",2
2946,"The company will disclose further details , including the anticipated transaction timetable and the name of the new investor , within one week .",1
1199,`` We 've been feeling quite positive about the region as a whole .,2
4717,"Honkarakenne also decided yesterday to sell 88,500 of its B-series shares to key staff members for EUR 2.90 per share .",1
5061,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,1
1309,Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,0
1473,"The period 's sales dropped to EUR 30.6 million from EUR 38.3 million , according to the interim report , released today .",1
3671,Finnish lifting equipment maker Konecranes HEL : KCR1V said on 29 July 2009 it has raised its stake in Austrian manipulator maker ACS Konecranes to 80 % and bought German sector player Knight Europe .,2
4609,Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor and sensor industries and Norwegian solar wafer company NorSun have signed a contract under which Okmetic will supply NorSun mono silicon crystals for use in solar cell manufacturing .,2
3701,"In Sweden , there is an oversupply of pharmacies .",1
1421,"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",1
4960,"ADP News - Jan 13 , 2009 - Finnish industrial and environmental measurement equipment maker Vaisala Oyj OMX : VAIAS said yesterday it will develop an operational reference radiosonde for climate change observations .",1
679,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",1
4533,"AHMS will also offer Hotel and Hotel Project Consultancy , Management Services , Brand Franchise , Training and Sales and Marketing services on a pan-India basis .",1
653,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,2
1976,The shipyard hopes the regional government in Andalusia can offer its some form of financial support .,1
2394,M+ñkel+ñ is demanding a new Board for the company as well as discussions on the merger of Alma media and media company Talentum .,1
2861,"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",1
5534,The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,2
340,$AAPL price momentum weakening going into the close.,0
3329,"The company 's plant in Russia will continue to make tyres for its near markets , while the plant in Nokia in Finland will manufacture tyres for other markets .",1
5088,"Combined with the Basware Enterprise Purchase to Pay portfolio , it provides a high level of automation for procurement and invoice workflows .",1
333,"The group intends to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of the country , where it already operates a hook manufacturing and distribution unit .",1
2038,"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",1
4824,"Technopolis , St. Petersburg 's Telecommunications University and the Russian Support Fund for Legislative Initiatives signed a protocol of intent in May of this year to set up a technopark in St. Petersburg on the base of the St. Petersburg Telecommunications University .",1
142,The plant is expected to enter commercial operation by mid-2009 .,1
4040,"The EB Tough VoIP Field Phone is equipped with an integrated speaker , Ethernet and SHDSL connectivity , and enables several innovative applications .",1
1781,"The market making in accordance with the agreement will begin on September 24 , 2009 .",1
1870,UPM-Kymmene has generated seventeen consecutive quarters of positive Cash Flow from Operations .,2
23,The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,1
1508,"The Group 's business sectors are Building Construction , Infrastructure Construction , Technical Building Services , and Building Products .",1
2770,"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",1
3952,"The Annual General Meeting approved a dividend of EUR 0.10 per share , that is , a total of EUR 7,8 million .",1
2166,"Finnish Vaahto Group that provides paper-making technology and process machinery is starting negotiations concerning the temporary lay-offs of all 140 employees at the company 's plants in Hollola and Tampere , in Finland .",0
1424,"Below are consolidated , unaudited results for Amanda Capital under IFRS reporting standards .",1
2740,"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",1
717,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",1
510,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",2
940,Affecto expects its net sales for the whole 2010 to increase from the 2009 level when they reached EUR 103 million .,2
1412,"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",2
5321,The company moved to an operating profit of EUR10 .9 m versus an operating loss of EUR15 .3 m. It also turned to EPS of EUR0 .08 versus loss per share of EUR0 .04 .,2
4939,"Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss , as announced before .",0
652,"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",2
4502,$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,0
4097,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",0
4296,$amzn breaking,2
4346,"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",2
1059,This resulted in improved sales figures in Sweden .,2
2201,"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",1
4554,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",1
1938,The serial bond is part of the plan to refinance the short-term credit facility .,1
2536,"SAN FRANCISCO ( MarketWatch ) -- Nokia Corp , the world 's largest cell-phone maker , is using the Consumer Electronics Show in Las Vegas to introduce a high-end , thin folding phone , according to a media report Monday .",1
2976,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",2
4325,"Water Treatment Products In Australia Today , Global Research & Data Services is going to publish a market analysis about the market for chemical water treatment products in Australia .",1
4189,"According to Soosalu , particular attention was paid to residents privacy and security in the design of the Aleksandri Street building .",1
4481,"Established in 1989 , CapMan manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EURO 3 billion $ 4 billion in total capital .",1
4207,The deal includes an option for Cramo to buy out the minority stake in 2011 .,1
1817,The handset maker did not disclose any financial details .,1
590,Here come the shorts marchin' in.  $GMCR.  Lovin' it!,0
1230,$PCLN Back to Back intraday reversals look out below. Shorts moving in!,0
2915,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 .,0
3484,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",1
3532,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,2
2902,4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,1
3544,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,1
3459,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,2
1039,Aspo 's Group structure and business operations are developed persistently without any predefined schedules .,1
3974,`` We are pleased with the efforts of both negotiating teams and look forward to a productive four years ahead . '',2
3167,"$YHOO fishy action. New party interested (DailyMail) bounce & retreats. Not short by any means, but action questions big up move. Thoughts?",1
3560,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,2
3976,Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,1
2566,Outotec 's net profit for the second quarter of 2007 jumped to 16.8 mln euro ( $ 23.1 mln ) from 4.6 mln euro ( $ 6.3 mln ) a year ago .,2
988,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,1
1450,"The Hayward , Calif.-based target designs active , casual and dress footwear , as well as boots and sandals .",1
1459,"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",1
4921,"YIT CORPORATION SEPT. 24 , 2007 at 13:30 CORPORATE RELEASE STOCK EXCHANGE RELEASE YIT 'S CAPITAL MARKETS DAY IN LONDON , SEPT. 26 , 2007 On Wednesday , September 26 , 2007 , YIT will hold a Capital Markets Day for investors and analysts in London .",1
4742,Basware finances the acquisition with a bank loan .,1
25,Shire CEO steps up drive to get Baxalta board talking,2
1094,"By cutting the number of plants , the group will trim fixed costs .",2
352,"`` We have come out with a decision which is based on our preliminary economic , operational and environmental findings , '' Karvinen said .",1
5441,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0
3631,$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),0
1835,"The contract covers the supply of temporary heating equipment for LKAB 's new pellet plant in Kiruna , in northern Sweden .",1
3083,$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,2
3423,"The authorisation is in force until the end of the next Annual General Meeting and repeals the authorisation to acquire own shares given by the General Meeting held on April 4 , 2007 .",1
1569,$NFLX and $TSLA making all kinds of gains 📈,2
3003,`` Operating profit declined mainly due to the increased cost of wood and recycled fiber and the strengthened euro . '',0
836,"A total of 131000 Talvivaara Mining Company Plc 's new shares were subscribed for during the period between May 1 , 2010 and June 30 , 2010 under the company 's stock option rights 2007A .",1
2629,"The 50-50 joint venture , to be called Nokia Siemens Networks , will be comprised of Nokia 's network business group and Siemens ' carrier-related operations , creating estimated synergies of 1.5 billion euros ( $ 1.9 billion ) by 2010 , Nokia said .",2
2163,`` There is no room to modify the share component as we have already indicated . '',1
1070,"The commission found evidence of several meetings to discuss the cartel , including one in a Brussels restaurant in November 1997 at which the companies discussed price increases .",1
3624,"Both operating profit and turnover for the three-month period increased , respectively from EUR0 .9 m and EUR8 .3 m , as compared to the corresponding period in 2005 .",2
1911,"A total of 16.5 mn passenger ship journeys took place in the northern Baltic Sea in 2007 , slightly down from 16.5 mn in 2006 .",0
3324,$IBIO  up 10% in premarket ready for lift off,2
3514,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,1
1286,"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",1
4204,"Finnish energy company Fortum Oyj said on November 13 , 2007 it was granted an environmental permit to build a biofuel-fired combined heat and power CHP plant in Vartan harbor in eastern Stockholm .",2
618,"With this , the company will exit the contract manufacturing service segment .",1
1607,ouch looks like $tsla shorts getting skinned again,2
3138,Sales by Seppala diminished by 6 per cent .,0
2944,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,1
280,"Utah 's capital wanted to be the next U.S. headquarters of Amer Sports Corp. , a ski-equipment company .",1
1241,Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,2
1211,"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",1
1589,"BasWare is headquartered in Espoo , Finland .",1
4467,"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",2
2763,The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,1
1037,Net loss in the same period in 2009 was euro18 .6 million .,1
5790,`` This is a win for all OEMs targeting to develop WiMAX products .,2
4764,$VOLC THIS STOCK HAS A VERY VERY VERY VERY VERY HIGH PROBABILITY OF RALLYING TOMORROW AND/OR EARLY NEXT WEEK,2
1996,"Sales in Finland decreased by 2.0 % , and international sales decreased by 9.3 % in terms of euros , and by 15.1 % in terms of local currencies .",0
2735,He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,1
4404,The company did not distribute a dividend in 2005 .,1
5096,$DMND green and moving,2
523,"CompaniesTravis Perkins lifts dividend, earnings rise 15%",2
3179,Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,2
3538,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,0
4512,Standard Life share price: Insurer buys advice firm Pearson Jones,2
442,$DARA breaking out,2
1743,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1
1729,$AAPL broke descending channel....will it hold?,1
5440,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 .,1
3973,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,1
3442,"In addition to Russia , we now seek additional growth in Ukraine .",2
1578,The terms and conditions of the Stock Option Scheme 2008 are available on the Company 's internet pages www.sanoma.com .,1
5647,The bank VTB24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .,1
4993,Benefon will turn the Salo unit into a B2B business unit and establish a B2C business unit in the UK .,1
655,Around 250 of these reductions will be implemented through pension arrangements .,1
1334,"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",1
5745,"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",2
1106,$RAD I would consider this opportunity to add my position because the company is on the right track they are still improving sales...,2
3741,The server is responsible for managing devices and user accounts and a desktop client application enables remote access to the mobile phones .,1
5265,"ADP News - Nov 18 , 2008 - Finnish AC drives manufacturer Vacon Oyj OMX : VAC1V said today that it had set up new representative offices in Romania and Ukraine to serve the growing markets in eastern and southeastern Europe .",2
319,"The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom , a company acquired by Teleste last spring .",1
128,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",1
4810,Profit for the period fell to EUR 1.6 mn from EUR 7.5 mn in January-September 2008 .,1
4175,Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT,2
5354,The company expects to open its first online shop in the US in the summer in 2011 .,1
3420,( A spokesperson told WWD to expect a 50-50 mix of clothing and home decor . ),1
4401,"We offer our clients integrated management consulting , total solutions for complex projects and efficient , best-in-class design and supervision .",1
3584,"The Basware Connectivity services allow companies to handle purchase to pay processes online and make their internal processes more efficient , '' said CEO Ilkka Sihvo , Basware Corporation .",2
2264,"The evidentiary hearing in the Investigation is scheduled for April 21 - May 1 , 2008 .",1
1125,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",0
1564,The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,1
4148,"According to Finnish Aktia Bank 's Managing Director Jussi Laitinen , the bank 's aim is to triple the number of its customers in Finland in the next five years .",2
5560,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,2
1671,"At the seminar , a memorandum of understanding on co-operation was signed between the Finnish Kemira Company and Vietnam National Chemical Corporation .",2
1783,"`` I am very pleased and proud of our performance last year , '' Chief Executive Juha Rantanen said in a statement .",2
2102,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",0
4618,Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .,1
4003,`` Stonesoft sees great promise in the future of IPv6 .,2
5412,"Isolationism? Another Sell Rating, Sell Ratings On SPY, QQQ, IWM And Several Companies https://t.co/6NKWEcrBA5 $AAPL $AXP $BAC $BLUE $FXE",0
76,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",2
4479,Europe needs 17 new large paper machines .,1
1973,@pierrules: $SIRI LONG!!,2
2945,"PCS Digital Guatemala has been using Tecnomen 's prepaid system in Telgua fixed networks as well as code division multiple access , or CDMA , and global system for mobile communication , or GSM , since 2003 .",1
569,$MXWL Oh snap. Just went long again. LT,2
994,AstraZeneca to Buy ZS Pharma for $2.7 Billion,2
2555,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 .,2
2627,"ADP News - Feb 13 , 2009 - Finnish retailer Kesko Oyj HEL : KESBV said today its total sales , excluding value added tax VAT , stood at EUR 661.3 million USD 853.1 m in January 2009 , down 15.2 % year-on-yea",1
5528,"Key reasons to read this report : - Report contains only relevant information , leaving out excessive data .",1
1193,"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",1
2305,CompaniesLSE adds ex-SEC head Schapiro to board,1
5489,The company expects its net sales in the first half of 2008 to reach the previous year 's level .,2
4984,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",1
4977,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",1
14,"Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 A total of 56,955 new shares of Ahlstrom Corporation have been subscribed with option rights under the company 's stock option programs I 2001 and II 2001 .",1
4446,"Based on the first quarter result , existing order backlog and new order prospects , the company expects that full-year sales will contract by 25 % from 2008 , the gross margin will stay at a healthy level , and the operating profit margin will be lower than in 2008 due to lower sales volume .",1
1108,Work on the assignment has already started and is due for completion in spring 2011 .,1
3105,"Customers wave cards in front of the reader to make payments , similar to `` touch and go '' cards used in transport systems .",1
3753,"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",0
4522,$SPPI..building RS. Sweet. I want this to break a new 52week. The earnings growth justifies way higher,2
1940,It is now the leading private road ambulance service company in Finland .,2
3141,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki .,0
1435,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 .,2
5474,$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,2
608,"`` The change will optimize the operational efficiencies of our growing business , '' said Julia Prohaska , director of marketing communications for Fiskars .",2
5193,Number of offers received for this contract is two .,1
1629,"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",2
3359,"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",1
3252,"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",1
5125,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",1
3103,"The business had gross written premiums of EUR152 .4 m (  91.5 m ) in 2000 , a net combined ratio of 133 % and 175 staff in total with offices in the UK , Germany and Benelux .",1
1350,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",2
768,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,0
2593,"The Board of Directors proposes to the Shareholders ' Meeting on 18 March 2010 that the company would pay dividend for the financial year January 1 - December 31 , 2009 , EUR 0.02 per share .",1
4775,This is the company 's first contract abroad .,1
4059,The company will use the assets for strengthening its balance sheet and financial position .,2
1227,"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",1
648,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",1
5544,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .",2
2231,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE 16.12.2008 AT 09:30 Huhtamaki Oyj has resolved to clarify the Group structure by separating the Foodservice and Consumer Goods businesses in its production unit in Hameenlinna , Finland by transferring the businesses into its wholly owned subsidiaries .",1
4566,"Via the Satlan acquisition , Teleste plans to further expand its market presence as a video services partner for cable operators , broadcasters and IPTV service providers .",2
4290,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,1
3218,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,2
2501,"The Economic Development and Trade Ministry and Industry and Energy Ministry , along with the Kostroma regional administration and the Russian Lumberman and Timber Exporters Union , has been carrying out work to acquire investment for the construction of a pulp and paper mill in Neya since 2003 .",1
227,Tesco sales rise shows tentative recovery continues,2
5518,Incap Furniture is presently negotiating staff cuts .,0
1658,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",2
944,"18 May 2010 - Finnish electronics producer Elcoteq SE HEL : ELQAV said today that it has signed an extensive cooperation agreement on industrialisation , manufacturing , distribution and after-market services for mobile phones with Japan 's Sharp TYO : 6753 .",2
222,N-Viro operates processing facilities independently as well as in partnership with municipalities .,1
3001,Biohit already services many current Genesis customers and the customer base is expected to expand as a result of this agreement .,2
2854,The measures result from decreased demand in technical design and product information .,0
1453,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,1
2596,"Like all other mechanical pipettors from Biohit , also Proline Plus is CE-IVD marked and comes with a 3-year warranty .",1
1009,"Separately , YIT Corporation and Austrian firm E AG last week signed an agreement on the sale of E 's building system service business in Germany , Austria , Poland , the Czech Republic , Hungary and Romania for EUR 55 mln .",2
683,$PCLN runs into the 50sma on the acquisition news,2
1518,Long $X 24.62,2
3556,LSC 's 30 employees will move to Ixonos with their existing status and benefits .,1
2742,The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,2
3238,HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,2
4488,"The total investment necessary will be EUR40m , the company estimated .",1
1690,The transaction is in line with Aspo 's strategy to expand in the Baltic Sea region and in the eastern markets .,2
2400,Sanofi poaches AstraZeneca scientist as new research head,1
3650,"The total scope of the project is about 38,000 square metres and it is valued at a total of around EUR75m .",1
929,Scanfil has also issued a profit warning .,0
5541,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",2
5155,Aldata noted that its Voice Supply Chain Technology approach enables VDW to integrate with warehouse management systems .,1
395,"Strongest growth was seen in the new markets in Russia , the Czech Republic , and Slovakia .",2
4100,Altogether Finnair has canceled over 500 flights because of the strike .,1
4972,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",1
516,"According to the notification , the holdings of Ameriprice Inc. and its group companies are now in total 808,973 shares , which represent 3.582 % of Tekla -¦ s shares and voting rights .",1
3643,"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",1
1306,$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,0
3804,Finnish M-real 's Kyro mill is starting negotiations to cut staff .,0
1638,Efore 's CEO Reijo Maihaniemi said that the company has developed and already delivered power supply units to respective systems based on this technology to Chinese sector company ZTE Corp SHE : 000063 .,1
3500,"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .",1
3981,Operating profit excluding non-recurring items totaled EUR 5.4 mn compared to EUR 5.5 mn in the corresponding period in 2007 .,1
4473,`` Those uncertainties cloud the long-term outlook . '',1
3340,"Typical end-uses include roof structures , floorings , walls and ceilings , non-visible structures in vehicles , packaging and boxes , construction site structures , fencing and shelters , and formwork with a limited number of concrete pourings .",1
3139,The combined value of the orders is almost EUR 3mn .,1
2291,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,0
3467,"L+ñnnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .",1
5313,"HELSINKI , Finland , Sept. 18 , 2009 ( GLOBE NEWSWIRE ) -- Ixonos Plc expands the company 's smartphone R&D services and establishes a new next-generation smartphone design unit in connection with Ixonos ' site in Jyvaeskylae .",2
3140,"Stora Enso said DeLight was suitable for a wide range of applications including food , cosmetics , home decoration and leisure products .",1
4701,`` Residentialconstruction in particular has picked up in several markets .,2
